version,stage,current,ATK,DEF,SPE,HP
16,0,Dodomon,Dorimon,Gigimon,Dorimon,Gigimon
17,0,Kuramon,Tsumemon,Tsumemon,Tsumemon,Tsumemon
18,0,Pitchmon,Moonmon,Moonmon,Moonmon,Moonmon
19,0,Bubbmon,Mochimon,Mochimon,Mochimon,Mochimon
20,0,Mokumon,Pokomon,Pokomon,Pokomon,Pokomon
21,0,Botamon,Koromon,Koromon,Koromon,Koromon
22,0,Chibomon,DemiVeemon,DemiVeemon,DemiVeemon,DemiVeemon
16,1,Dorimon,DORUmon,Ryudamon,Dracomon,DORUmon
16,1,Gigimon,Guilmon,Dracomon,Guilmon,Dracomon
17,1,Tsumemon,Keramon,Dracmon,Ghostmon,Tsukaimon
18,1,Moonmon,Swimmon,Kamemon,Lunamon,Sangomon
19,1,Mochimon,Gaomon,Pomumon,Funbeemon,Lalamon
20,1,Pokomon,Renamon,Impmon,Gazimon,Goblimon
21,1,Koromon,Hackmon,Kudamon,Lucemon,Morphomon
22,1,DemiVeemon,Veemon,Wormmon,Hawkmon,Armadillomon
16,2,DORUmon,DORUgamon,Coredramon Blue,Raptordramon,Coredramon Green
16,2,Ryudamon,Ginryumon,Coredramon Green,Coredramon Blue,Ginryumon
16,2,Guilmon,Growmon,GeoGreymon,Coredramon Blue,Coredramon Green
16,2,Dracomon,Coredramon Blue,Coredramon Green,GeoGreymon,Coredramon Green
16,3,DORUgamon,DORUguremon,Grademon,Wingdramon,Groundramon
16,3,Raptordramon,DORUguremon,Grademon,Wingdramon,RizeGreymon
16,3,Ginryumon,Hisyaryumon,Groundramon,Wingdramon,Hisyaryumon
16,3,Growmon,MegaloGrowlmon,RizeGreymon,Wingdramon,Groundramon
16,3,Coredramon Blue,Wingdramon,Groundramon,RizeGreymon,Wingdramon
16,3,Coredramon Green,Groundramon,Wingdramon,RizeGreymon,Groundramon
16,3,GeoGreymon,RizeGreymon,Groundramon,Wingdramon,RizeGreymon
16,4,DORUguremon,DORUgoramon,Alphamon,Slayerdramon,Breakdramon
16,4,Grademon,Alphamon,DORUgoramon,Slayerdramon,Breakdramon
16,4,Hisyaryumon,Ouryumon,Slayerdramon,Breakdramon,Ouryumon
16,4,MegaloGrowlmon,Dukemon,Slayerdramon,Breakdramon,Dukemon
16,4,Wingdramon,Slayerdramon,Breakdramon,Slayerdramon,Breakdramon
16,4,Groundramon,Breakdramon,Breakdramon,Slayerdramon,Breakdramon
16,4,RizeGreymon,Slayerdramon,Breakdramon,Slayerdramon,DORUgoramon
17,2,Keramon,Kurisarimon,IceDevimon,Soulmon,Boogiemon
17,2,Dracmon,Sangloupmon,Fangmon,Witchmon,Boogiemon
17,2,Ghostmon,Soulmon,Witchmon,Boogiemon,IceDevimon
17,2,Tsukaimon,IceDevimon,Fangmon,Witchmon,Boogiemon
17,3,Kurisarimon,Infermon,NeoDevimon,Wisemon,Cerberumon
17,3,Soulmon,Wisemon,SkullBaluchimon,NeoDevimon,Matadormon
17,3,IceDevimon,NeoDevimon,Wisemon,SkullBaluchimon,Cerberumon
17,3,Sangloupmon,Matadormon,Cerberumon,Astamon,SkullBaluchimon
17,3,Fangmon,Cerberumon,Matadormon,Astamon,SkullBaluchimon
