id,family,version,stage,name,korean_name,special,type1,type2,power,style
333,Dragon,16,Child,Dracomon,드라코몬,0,DRAGON,NORMAL,32,0
334,Dragon,16,Adult,Coredramon Blue,코어드라몬(청),0,DRAGON,WATER,52,0
335,Dragon,16,Adult,Coredramon Green,코어드라몬(녹),0,DRAGON,GRASS,52,0
336,Dragon,16,Adult,GeoGreymon,지오그레이몬,0,FIRE,DRAGON,52,0
337,Dragon,16,Perfect,Wingdramon,윙드라몬,0,DRAGON,FLYING,100,0
338,Dragon,16,Perfect,Groundramon,그라운드라몬,0,DRAGON,GROUND,100,0
339,Dragon,16,Perfect,RizeGreymon,라이즈그레이몬,0,FIRE,STEEL,100,0
340,Dragon,16,Ultimate,Slayerdramon,슬레이어드라몬,0,DRAGON,FIGHTING,180,0
341,Dragon,16,Ultimate,Breakdramon,브레이크드라몬,0,DRAGON,STEEL,180,0
342,Dragon,16,Ultimate,Examon,엑자몬,0,DRAGON,FLYING,180,0
343,Dark,17,Child,Dracmon,드라크몬,0,DARK,NORMAL,32,0
344,Dark,17,Child,Ghostmon,고스트몬,0,GHOST,NORMAL,32,0
345,Dark,17,Child,Tsukaimon,츠카이몬,0,DARK,FLYING,32,2
346,Dark,17,Adult,Soulmon,소울몬,0,GHOST,DARK,52,0
347,Dark,17,Adult,IceDevimon,아이스데블몬,0,DARK,ICE,52,0
348,Dark,17,Adult,Sangloupmon,상글루몬,0,DARK,NORMAL,52,0
349,Dark,17,Adult,Fangmon,팡몬,0,DARK,NORMAL,52,0
350,Dark,17,Adult,Witchmon,위치몬,0,PSYCHIC,DARK,52,2
351,Dark,17,Adult,Boogiemon,부기몬,0,DARK,FIRE,52,0
352,Dark,17,Perfect,Matadormon,마타돌몬,0,DARK,FIGHTING,100,0
353,Dark,17,Perfect,Astamon,아스타몬,0,DARK,FIRE,100,0
354,Dark,17,Perfect,NeoDevimon,네오데블몬,0,DARK,FLYING,100,2
355,Dark,17,Perfect,SkullBaluchimon,스컬발루치몬,0,DARK,GROUND,100,0
356,Dark,17,Perfect,Wisemon,와이즈몬,0,PSYCHIC,DARK,100,2
357,Dark,17,Perfect,Cerberumon,케르베로스몬,0,DARK,FIRE,100,0
358,Dark,17,Ultimate,GranDracmon,그란드라크몬,0,DARK,DRAGON,180,0
359,Dark,17,Ultimate,Barbamon,발바몬,0,DARK,PSYCHIC,180,2
360,Dark,17,Ultimate,Belphemon: Sleep Mode,벨페몬 슬립 모드,0,DARK,PSYCHIC,180,2
361,Dark,17,Ultimate,BeelStarmon,베르스타몬,0,DARK,FIRE,180,0
362,Dark,17,Ultimate,Murmukusmon,무르무쿠스몬,0,DARK,FLYING,180,2
363,Deep,18,Child,Swimmon,스윔몬,0,WATER,NORMAL,32,2
364,Deep,18,Child,Kamemon,카메몬,0,WATER,STEEL,32,2
365,Deep,18,Child,Sangomon,산고몬,0,WATER,ROCK,32,2
366,Deep,18,Child,Penmon,펜몬,0,WATER,ICE,32,2
367,Deep,18,Adult,Dolphmon,돌프몬,0,WATER,PSYCHIC,52,2
368,Deep,18,Adult,Tylomon,티로몬,0,WATER,DARK,52,2
369,Deep,18,Adult,Tobiumon,토비우몬,0,WATER,FLYING,52,2
370,Deep,18,Adult,Orcamon,오르카몬,0,WATER,ICE,52,2
371,Deep,18,Perfect,MarinChimairamon,마린키메라몬,0,WATER,DARK,100,3
372,Deep,18,Perfect,Gusokumon,구소쿠몬,0,WATER,BUG,100,3
373,Deep,18,Perfect,WaruSeadramon,와루시드라몬,0,WATER,DARK,100,3
374,Deep,18,Perfect,Divemon,다이브몬,0,WATER,FIGHTING,100,3
375,Deep,18,Ultimate,Regalecusmon,리갈렉스몬,0,WATER,DARK,180,3
376,Deep,18,Ultimate,Neptunemon,넵튠몬,0,WATER,FIGHTING,180,3
377,Deep,18,Ultimate,Leviamon,리바이어몬,0,WATER,DARK,180,3
378,Deep,18,Ultimate,AncientMermaimon,에이션트머메이몬,0,WATER,FAIRY,180,3
379,Nature,19,Child,Pomumon,포무몬,0,GRASS,FLYING,32,2
380,Nature,19,Child,Funbeemon,펀비몬,0,BUG,FLYING,32,2
381,Nature,19,Child,Lalamon,라라몬,0,GRASS,FAIRY,32,2
