id,filename,name,version,family,stage_id,stage
283,d283.dgi,Guilmon,16,Dragon,2,성장기
284,d284.dgi,Growmon,16,Dragon,3,성숙기
285,d285.dgi,MegaloGrowlmon,16,Dragon,4,완전체
286,d286.dgi,Dukemon,16,Dragon,5,궁극체
287,d287.dgi,Dukemon Crimson Mode,16,Dragon,5,궁극체
288,d288.dgi,Keramon,17,Dark,2,성장기
289,d289.dgi,Kurisarimon,17,Dark,3,성숙기
290,d290.dgi,Infermon,17,Dark,4,완전체
291,d291.dgi,Diablomon,17,Dark,5,궁극체
292,d292.dgi,Lunamon,18,Deep,2,성장기
293,d293.dgi,Lekismon,18,Deep,3,성숙기
294,d294.dgi,Crescemon,18,Deep,4,완전체
295,d295.dgi,Dianamon,18,Deep,5,궁극체
296,d296.dgi,Gaomon,19,Nature,2,성장기
297,d297.dgi,Gaogamon,19,Nature,3,성숙기
298,d298.dgi,MachGaogamon,19,Nature,4,완전체
299,d299.dgi,MirageGaogamon,19,Nature,5,궁극체
300,d300.dgi,Renamon,20,Nightmare,2,성장기
301,d301.dgi,Kyubimon,20,Nightmare,3,성숙기
302,d302.dgi,Taomon,20,Nightmare,4,완전체
303,d303.dgi,Sakuyamon,20,Nightmare,5,궁극체
304,d304.dgi,Hackmon,21,Secret,2,성장기
305,d305.dgi,BaoHackmon,21,Secret,3,성숙기
306,d306.dgi,SaviorHackmon,21,Secret,4,완전체
307,d307.dgi,Jesmon,21,Secret,5,궁극체
308,d308.dgi,DORUmon,16,Dragon,2,성장기
309,d309.dgi,DORUgamon,16,Dragon,3,성숙기
310,d310.dgi,DORUguremon,16,Dragon,4,완전체
311,d311.dgi,DORUgoramon,16,Dragon,5,궁극체
312,d312.dgi,Raptordramon,16,Dragon,3,성숙기
313,d313.dgi,Grademon,16,Dragon,4,완전체
314,d314.dgi,Alphamon,16,Dragon,5,궁극체
315,d315.dgi,Ryudamon,16,Dragon,2,성장기
316,d316.dgi,Ginryumon,16,Dragon,3,성숙기
317,d317.dgi,Hisyaryumon,16,Dragon,4,완전체
318,d318.dgi,Ouryumon,16,Dragon,5,궁극체
